
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198204   0.20  -3.99   2.09  -0.74   0.82  -1.02   1.44  -1.72   2.80  -8.18
198205  -4.97  -2.41  -4.84  -2.06  -1.07  -4.18  -2.90  -8.35  -1.21  -6.69
198206  -5.21  -4.96  -5.65  -5.09  -5.73 -11.99  -7.17  -5.81  -5.68  -1.17
198207   2.28   3.22   2.35   1.62   0.35   9.25   0.40   4.63   0.22  -3.02
198208   4.89   4.62   5.59   2.35   5.12   8.46   6.89   5.98   4.74   4.45
198209   2.11   4.97   2.37  -2.05   3.92  -2.35   2.34   1.66   3.11  -2.67
198210  -2.49  -0.87  -2.54  -0.64  -4.27   2.29  -3.67  -2.05  -4.29  -2.50
198211   1.30  -1.06   0.61   2.64  -0.50  -1.61  -0.16   1.86   0.98   0.41
198212   9.40   7.17   8.95  11.10   9.67  12.02   8.45   9.50   8.18   9.40
198301   0.48   2.20  -1.76  -1.07   0.48   0.26  -0.44   1.73   1.08   4.71
198302   3.87   6.77   1.64   2.08   6.04   7.91   3.77   4.71   3.92   4.93
198303   7.73   8.31   5.88   7.63   6.74   7.71   7.02   9.76   6.22  -2.76
198304   6.38   6.13   8.56   4.34   5.94   5.27   8.05   5.82   7.01  -5.04
198305  -4.04  -3.19  -4.98  -2.95  -3.15  -3.19  -5.95  -4.51  -2.51  -4.49
198306   5.74   5.35   5.87   6.53   2.18   0.55   6.54   6.25   4.56  11.94
198307   1.41   4.52   0.23   0.23   1.21   5.08   0.67   0.31   5.70   0.30
198308  -3.43  -2.80  -1.53  -1.66  -0.35   2.32  -3.05  -4.48  -4.94   3.56
198309   2.22   4.51   2.66   1.78   5.12   7.56   0.77   1.01   3.81   4.16
198310  -5.62  -5.78  -6.14  -7.13  -3.30  -2.18  -7.12  -5.22  -2.61 -14.69
198311   3.61  -0.97   4.22   3.72   1.78  -1.82   6.45   4.35   2.83  -1.76
198312   5.32   6.82   4.67   4.22   7.92   9.42   4.06   4.57  10.04   3.56
198401   5.79   8.75  10.59  10.18   3.03  17.74   2.04  -0.32   6.16  15.07
198402   2.58  -0.68   3.03   5.71   0.07  -5.55   0.25   3.91  -1.42   4.06
198403   6.13   5.51   5.41   5.53   6.96   7.80   7.66   8.12   5.64  11.30
198404   2.41   2.61   1.02   3.62  -0.45   2.24   4.02   3.44  -3.84 -99.99
198405  -4.24  -2.63  -2.28  -3.15  -4.14  -1.67  -6.28  -6.42  -3.02 -99.99
198406  -4.99  -6.61  -5.38  -5.45  -3.97  -9.96  -4.36  -4.11  -3.96 -99.99
198407  -1.44  -1.99  -2.80  -3.09  -0.14  -3.64   1.66   1.20  -2.96 -99.99
198408  11.48  14.12  12.01  13.07  10.66  18.35  11.58   9.93  13.50 -99.99
198409  -3.14  -4.25  -2.86  -1.73  -3.80  -1.53  -3.47  -3.38  -4.87 -99.99
198410   2.50   2.66   0.41  -0.16   4.48   0.96   4.77   3.99   4.11 -99.99
198411  -3.80  -4.44  -5.80  -4.83  -4.04  -7.46  -3.62  -0.60  -8.21 -99.99
198412  -0.01   1.21  -0.79  -0.54   0.35  -0.10  -0.05  -0.45   0.45 -99.99
198501  -3.76  -4.26  -4.79  -3.40  -3.83  -6.25  -3.78  -3.23   0.53 -99.99
198502   1.65   2.90   2.83   3.49   1.18   6.25  -0.82   0.71   2.76 -99.99
198503   9.22  13.95   5.17  10.95   8.99  10.90  13.62  11.59  10.82 -99.99
198504  -0.62  -3.66   2.95  -1.90  -0.90  -4.68  -1.53  -1.58   2.91 -99.99
198505   4.56   5.88   3.76   6.72   6.02   6.38   4.31   4.54   8.09 -99.99
198506  -2.33  -1.67  -3.61   1.34  -2.49  -1.72  -2.65  -1.49  -0.99 -99.99
198507  10.79  10.90  10.86   9.76   9.45  13.49   8.03  12.11   6.71 -99.99
198508   3.41   5.61   3.84   5.23   2.32  11.03   3.19   3.22   3.53 -99.99
198509  10.15  10.75   8.96  10.25  11.39  11.80  10.63  11.97   8.67 -99.99
198510  19.42  18.79  21.76  17.71  23.90  11.99  19.11  18.32  16.84 -99.99
198511   9.82  10.62   5.91  11.89   7.13  12.36  10.94  12.97  10.42 -99.99
198512   1.06   0.61  -0.84   1.06   0.61   0.71   0.92   2.23   0.48 -99.99
198601   0.06   1.41  -0.39  -1.77   3.13  -2.72   2.69  -0.09   4.69 -99.99
198602  25.64  26.65  22.59  23.04  23.90  23.61  28.44  26.67  21.57 -99.99
198603   3.98   6.97   4.47   4.16   7.19   1.44   1.01   2.53   5.74 -99.99
198604   9.92   8.19  10.67  11.08   7.83  11.24   7.75   9.37   9.36 -99.99
198605  -5.78  -6.98  -2.50  -4.20  -4.31  -3.44  -7.60  -6.60  -5.71 -99.99
198606   6.47   3.19   8.78   7.75   5.83  10.57   7.07   6.94   7.66 -99.99
198607   3.15   0.08   4.14   2.23   4.41   2.63   4.30   3.46   3.32 -99.99
198608   8.54   9.32   9.64   9.32   9.42   7.89   8.72   8.33  10.46 -99.99
198609   0.37   2.10  -0.92   0.84  -2.17   1.93  -1.44   0.36  -4.67 -99.99
198610   0.87   0.72   1.52   1.71   1.70   2.63  -0.20   1.07   1.52 -99.99
198611   9.02  10.02  10.39   7.92  13.54   6.93   8.53   7.80  12.15 -99.99
198612   3.86   4.08   3.87   5.31   1.74   5.83   4.75   5.09   0.65 -99.99
198701   7.58   8.37   5.19   8.55   6.79   7.45   7.28   9.19   4.72 -99.99
198702   3.16   2.21   5.30   5.09   6.99   3.14   7.58   4.35   7.91 -99.99
198703   4.62   3.82   5.56   3.18   5.49   4.69   4.51   3.49   5.91 -99.99
198704   8.39  10.04  11.70   7.43  11.40   8.08   5.75   5.12  14.86 -99.99
198705  -4.63  -3.39  -2.17  -7.52  -4.55  -3.64  -5.23  -8.69  -4.58 -99.99
198706   4.48   8.88   3.03   9.75   2.00   8.47   5.31   2.88   1.94 -99.99
198707   8.06   6.56  10.67   7.25   8.03   9.15  14.59   5.76   7.38 -99.99
198708   3.85   2.34   6.37   2.66   4.08   6.17   6.24   0.23   4.21 -99.99
198709  -4.66  -0.59  -4.60  -1.69  -2.88  -4.74  -3.67  -6.96  -1.94 -99.99
198710 -19.20 -22.35 -20.54 -17.02 -21.52 -17.75 -25.53 -11.48 -20.18 -99.99
198711   0.14  -1.37  -2.06   1.71  -0.79   0.29  -0.73   4.97  -3.70 -99.99
198712  10.53  12.34   9.07  11.24  12.83   9.28  13.10  14.38  10.38 -99.99
198801  -4.04   4.12  -5.74  -5.60  -7.49  -5.98  -7.52  -2.10  -6.39 -99.99
198802  23.33  54.25  14.42  14.27  13.98  12.50  14.27  33.39  16.12 -99.99
198803   2.80   0.46   5.64   1.31   7.49   1.84   6.89   1.22   8.46 -99.99
198804  -4.90 -19.38  -0.16   1.89   0.40   1.95  -2.83 -12.91   0.60 -99.99
198805  -4.95  -4.96  -3.77  -6.01  -5.21  -4.85  -5.81  -9.04  -3.72 -99.99
198806  -0.15  -4.15   1.54   1.62  -3.70   5.63   1.35  -2.00  -3.82 -99.99
198807  -3.73  -0.27  -5.07  -4.33  -3.84  -5.54  -3.11  -1.69  -4.32 -99.99
198808  -2.07  -2.22  -2.20   0.60  -3.60  -1.24   2.00  -2.20  -4.26 -99.99
198809  10.04   6.82  12.11   8.53  11.05  12.39   6.50   8.86  10.40 -99.99
198810   6.95   6.60   6.41   8.31   7.10   7.16   6.41   6.55   6.87 -99.99
198811   4.21   6.44   3.32   4.07   3.79   3.46   2.61   4.66   2.45 -99.99
198812   2.09   5.33   1.30   0.96   0.88   1.38   1.96   4.06   0.99 -99.99
198901  -1.58  -2.55  -1.60  -0.61  -3.62  -0.72   1.06   0.48  -1.59   9.38
198902  -1.22  -0.21  -2.92  -2.94   0.00  -2.55   1.16  -1.59  -2.89  20.57
198903  -0.93  -1.46  -0.60  -1.14  -0.63  -0.63   1.39   0.96   1.16  10.12
198904   3.55   1.22   4.55   7.18   2.28   6.56   4.74   2.78   4.33 -10.25
198905  -2.86  -3.38  -2.94  -2.01  -1.74  -3.35  -2.64  -5.30  -3.36   5.41
198906   0.19  -1.34   0.03  -0.11  -0.87  -1.86   6.13   0.65   1.57   6.79
198907   5.78   7.23   6.23   5.48   7.09   5.49   3.41   6.13   6.49   4.82
198908  -1.60  -1.92  -0.45  -1.79   1.31  -6.75  -1.24  -5.09   2.97   4.06
198909   9.28   8.94  10.90   8.67  14.65   6.89  10.92   6.13  10.92   5.01
198910  -4.71  -3.48  -5.16  -4.53  -5.40   0.74  -9.88   0.99  -3.87 -19.20
198911   7.98   7.48   7.98  10.65   7.03   7.71  10.08   5.08   7.15   6.08
198912   5.40   5.80   4.19   5.80   4.61   5.86   2.72   4.15   4.66   5.50
199001  -3.40  -4.69  -3.76  -5.37  -4.02  -7.26  -3.27  -3.68  -3.33  -7.17
199002  -9.42 -10.43  -8.32  -7.34  -7.88  -6.33 -10.07  -9.97  -7.20 -12.60
199003  10.45  10.82  12.52  10.60  13.54  10.85  14.73   9.11  11.54  19.32
199004  -0.10  -0.25  -2.47   1.91  -4.27   1.41  -0.38  -0.20  -2.66   2.98
199005   3.05   2.44   4.96   2.16   5.76   1.44   3.29   3.21   4.40   4.89
199006   1.12   1.13   2.48  -0.65   3.17  -1.14  -2.34   1.23   4.15  -2.92
199007   6.29   5.81   7.72   3.71   7.56   7.41   6.06   6.75   6.88  10.98
199008 -10.55  -9.21  -9.29 -13.63  -9.38 -11.28 -10.27  -7.72  -9.36 -22.18
199009  -9.83  -5.77 -11.18 -11.97 -11.06  -8.72  -8.62  -3.92 -11.49 -22.96
199010   8.54   8.48   5.95   7.21   7.54  11.59  14.40   9.80   7.35   1.98
199011  -2.42   0.61  -7.27  -1.97  -7.04   3.05  -0.29  -0.06  -6.50  -4.02
199012  -0.48   0.55  -0.54   2.57  -0.99   0.07  -5.67  -0.88   0.76   1.54
199101   1.98   3.45   0.47   1.81  -1.17   1.00   1.39   5.61  -3.44 -99.99
199102  10.85  14.69   9.37  15.96  12.52  12.24   8.91   6.09  12.20 -99.99
199103  -6.23  -5.12  -6.29  -6.35  -3.81  -3.44  -4.96  -5.59  -3.80 -99.99
199104  -1.41  -1.55  -1.75  -1.71  -3.30  -2.93  -0.61  -1.64  -2.85 -99.99
199105  -3.07  -2.48  -3.10  -1.83  -3.58  -0.70  -1.43  -5.32  -2.16 -99.99
199106  -4.50  -2.03  -5.00  -2.47  -3.91  -3.39  -5.68  -6.20  -3.73 -99.99
199107   2.76   3.35   3.49   2.43   1.48   0.46   3.51   3.79   1.98 -99.99
199108  -0.62  -0.02  -0.09  -0.70  -0.43   0.70  -2.58   1.55  -1.35 -99.99
199109   0.98  -1.65   1.45  -3.64   2.79  -2.48   1.80   2.99   2.10 -99.99
199110   2.22   1.16   2.13   0.00   3.55   1.21   2.79   2.45   4.73 -99.99
199111   0.81  -0.01   2.52  -1.73   2.09  -2.62   0.39   3.74   1.22 -99.99
199112  10.09   7.77  11.20   5.10  11.98   6.52  13.33  11.32  10.29 -99.99
199201   0.95   5.34  -0.96   4.11   0.31   1.22   1.71   0.96   6.54 -99.99
199202   0.19   1.62  -0.88   0.48   1.16  -0.24  -1.21   0.46   0.73 -99.99
199203  -2.18  -4.24  -1.06  -2.88  -2.26  -2.64  -1.45  -2.92  -0.04 -99.99
199204   1.63   1.10   1.87   2.67   1.78   2.43   1.38   0.30   0.28 -99.99
199205   4.08   9.29   1.62   5.41   4.05   8.72   3.83   3.71   3.90 -99.99
199206   1.55   1.13   2.23  -0.25  -1.40   1.58  -3.17   1.94   0.68 -99.99
199207   1.91  -0.91   2.99   1.77   1.49   1.52   1.40   1.21   0.34 -99.99
199208  -3.15  -6.22  -3.53  -1.49  -3.50  -2.79  -5.97   2.20  -2.55 -99.99
199209   3.56   4.37   3.49   1.23   2.35  -0.04   6.49   4.22   5.59 -99.99
199210  -6.78 -12.46  -5.28  -9.00  -3.36 -10.84  -5.97  -7.27  -3.39 -99.99
199211  -2.22  -5.67  -1.14  -3.59  -3.75  -5.60  -2.12  -0.43  -6.60 -99.99
199212  -1.19   0.19  -2.63   0.41  -2.45  -1.60  -2.36   0.74  -2.63 -99.99
199301   5.60   8.29   3.88   6.09   4.76   7.90   5.12   5.30   5.17   7.95
199302   0.16   1.25  -2.04   3.22   0.17   1.82  -2.95  -0.30  -1.63  -2.49
199303   9.16   8.66   9.26   8.29  10.65   9.51   7.67  11.25   6.43   5.12
199304  -2.07  -1.23  -1.99  -2.94  -1.93   0.01  -3.49  -1.33  -4.58  -8.13
199305  -0.57  -0.66  -1.19   1.36   0.05   1.56   3.29  -1.87   3.64   0.78
199306  -0.87  -1.63   0.07  -2.17  -0.42  -3.32   0.10  -0.45  -2.56   1.47
199307  -0.09   1.79  -1.36   0.70   2.53   2.80  -2.15  -0.46  -1.31   1.41
199308   1.01   2.35  -0.59   3.48  -0.60   2.23   1.36   0.53   0.87   0.32
199309   0.56   1.42  -0.17  -0.17  -0.03  -1.45  -1.56   1.49  -1.06  -1.48
199310   3.56   4.87   4.44   2.08   4.90   1.68   7.61   4.29   4.40   4.41
199311   1.61   0.62   1.18   2.69   0.00   3.01   0.02   0.80   2.33  -6.20
199312   7.32   7.72   6.81   7.66   6.61  12.37   7.91   6.88   7.92   9.69
199401   5.37   6.33   5.29   1.17   7.83   5.71  12.27   3.54   7.10  14.93
199402  -0.54   0.70   0.48  -1.67  -0.21   1.35  -1.71  -0.62   1.28  -3.94
199403  -0.73   2.05  -1.06  -2.10   0.00  -2.44   2.60  -0.91  -3.11   0.90
199404   5.69   6.12   5.22   4.32   4.83  11.64   5.40   5.18   6.56   5.21
199405  -1.86  -0.64  -2.50  -4.23   0.13  -3.44   2.22  -3.46  -2.55   4.37
199406  -1.96  -4.46  -0.77  -0.45  -3.63  -3.18  -4.72  -1.65   0.04  -2.31
199407   4.90   5.29   4.63   5.77   3.42   7.07   4.25   5.68   3.50   2.18
199408   1.29   2.49   0.91  -0.93   0.68   3.53   3.09   1.83   1.55   4.69
199409  -4.85  -5.45  -5.13  -4.10  -4.78  -7.83  -2.00  -6.08  -3.22   1.30
199410   3.78   4.86   3.07   4.49   1.78   5.42   2.91   4.87   4.09   5.80
199411  -2.03  -3.16  -1.79   0.81  -2.60  -4.24  -5.31  -1.29  -1.44  -8.15
199412   1.55   1.60   1.69   1.65   2.04   1.56   0.19   2.04   1.82  -3.41
199501  -1.38  -1.64  -2.26  -1.02  -1.49  -1.06  -3.39  -0.92  -3.22  -1.86
199502   3.81   3.92   0.58   4.95   0.81   3.23   0.69   6.18   3.42  -3.43
199503   4.65   2.80   2.11   8.40   0.54   5.25   3.01   7.09   4.54  -3.79
199504   7.12   7.96   8.10   6.15   8.75   6.26  10.42   5.34   8.20  11.77
199505   0.53   0.72  -0.52   1.71   0.66   1.58  -0.87   0.55   5.11  -4.66
199506   0.51   0.04   0.55   0.80   0.58   0.47  -1.29   0.48   0.29  -2.76
199507   2.89   2.68   3.23   0.83   3.82   3.91   2.51   3.58   2.43   6.16
199508  -5.47  -6.16  -4.58  -4.91  -5.27  -6.95  -6.46  -5.38  -4.30  -8.99
199509   2.59   2.22   1.57   4.32   1.75   2.40  -0.93   3.38   1.53  -4.44
199510   0.11  -0.77  -2.22   2.25  -2.62  -1.41  -2.85   2.12  -2.38  -5.95
199511   0.99   0.60  -1.29   2.76  -0.78   2.54  -1.55   1.56   3.29   0.97
199512   6.80   8.06   5.53   6.89   5.93   7.30   7.33   8.02   6.19   3.11
199601   2.98   1.44   3.98   4.22   2.53   5.05   6.40   1.84   5.21   7.33
199602  -0.46  -1.02  -1.41   0.63   2.93  -0.07   3.18  -2.02   3.18  -2.75
199603  -2.28  -2.89  -1.78  -0.87  -2.43  -3.08  -2.13  -2.87  -1.13   1.04
199604   2.17   0.29   2.99   2.49   2.86   2.80   2.98   0.37   3.58   3.38
199605   1.35  -2.15   1.81   2.74   3.28   4.14   2.49  -2.38   4.81  -1.15
199606   0.38   0.61  -0.86   1.53   2.34  -1.78  -1.06  -0.09  -0.12   2.87
199607   1.26   1.23   3.03   0.46  -0.60  -1.06   0.75   2.66   1.12  -7.01
199608   0.86  -0.03  -0.25   1.51   0.94  -0.41   1.65   0.24   1.86   6.67
199609   0.95   0.80   3.15   2.17  -0.31   5.01   1.04  -0.31   1.11  -1.62
199610   1.62  -0.98   4.29   0.98   3.31   0.64   3.93   0.76   3.86  -2.14
199611   3.71   2.36   4.12   4.86   4.89   1.51   4.63   2.23   7.91  -4.66
199612   0.98   1.61   1.96   0.84   0.16  -0.36  -0.46   1.69   0.20  -0.88
199701   1.31  -1.57   2.51   2.41   3.16  -1.14  -0.69   0.37   0.83   3.74
199702   2.22   3.66   1.34   4.04   0.89  -1.69   2.18   1.88   2.21   7.85
199703   2.25   4.75  -0.01   3.38  -0.33   0.70   3.01   3.68   0.47   6.81
199704   0.49   0.00  -0.54   5.00  -1.20  -1.97  -0.97   0.90  -2.09  -5.37
199705   2.99   4.76   2.65   4.20   1.00   2.89   2.28   2.14   4.34   1.44
199706   2.54   1.30   6.74  -0.12   9.30  -1.31   8.86  -0.20  10.44   8.73
199707   1.64   1.41   2.94   2.15   3.65   0.54  -0.36   0.97   4.05  -2.70
199708  -7.18  -5.38  -7.57  -7.20  -8.09  -2.78  -5.26  -6.78  -7.61  -8.22
199709   6.88   6.43   7.27   8.80   9.42   7.55   4.59   6.31   7.20   3.40
199710  -0.98  -3.19  -2.80   0.19  -4.78   0.12  -4.14   0.87  -4.63   0.70
199711   0.89   1.27   1.71  -0.25   0.76  -0.24  -2.22   0.77   0.42   3.92
199712   2.71   0.32   0.55   7.00  -1.70   2.65  -0.97   3.17   1.57   8.31
199801   4.23   1.05   5.71   3.15   7.09   0.42   8.11   3.90   9.48  -3.87
199802   6.15   6.03   5.73   3.75   7.39   3.30   7.07   7.02   8.48   8.67
199803   8.17  11.76   8.90   9.41   5.64   7.83   8.14   8.13   8.73   7.02
199804   7.24   9.96   6.08   9.05   4.88   7.76   5.64  10.61   3.15   5.20
199805   8.25   5.49   5.47   8.99   0.29   4.99  -0.30   9.64   6.42  -3.23
199806   4.15  -1.98   5.15   3.95   8.20   6.03   9.46   3.23   3.10   2.41
199807   4.16  -4.06   4.45   2.43   2.44   3.89   2.11   6.42   5.95  -2.75
199808  -8.32  -6.72  -9.08  -6.05 -10.55 -10.33  -9.70  -4.97 -12.49 -12.28
199809   0.00 -10.86  -5.72   8.02  -1.03   2.98  -2.28   8.15  -2.28 -17.22
199810   5.95   9.07   9.73   2.20   8.38   5.07  10.13   2.03  11.96   1.29
199811   3.06   0.77   3.40   2.88  -1.57   0.91  -1.87   3.33   1.96   6.63
199812   9.27   2.48  10.55   9.74   6.24  12.40   6.34  10.97   9.38  -5.15
199901  -4.61  -7.52  -3.43 -10.15  -7.39  -9.74  -9.18  -4.74  -4.38   1.00
199902  -4.70  -1.83  -6.05  -1.36  -6.65  -1.15  -9.64  -3.08  -7.10   3.49
