,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,Mom   
149,479,1.42,1.66,0.11,0.51,-0.38,0.1,2003,6,-1.0
150,480,2.35,4.54,-1.24,-4.14,1.78,0.07,2003,7,-0.24
151,481,2.34,2.48,1.53,-2.25,2.14,0.07,2003,8,-0.62
152,482,-1.24,0.54,0.16,1.01,0.34,0.08,2003,9,-0.19
153,483,6.08,2.71,1.97,-1.35,1.55,0.07,2003,10,3.99
154,484,1.35,2.33,1.78,0.19,1.81,0.07,2003,11,1.46
155,485,4.29,-2.49,1.6,0.56,0.94,0.08,2003,12,-5.57
156,486,2.15,2.45,2.49,-3.66,3.38,0.07,2004,1,2.58
157,487,1.4,-0.93,0.9,2.17,-1.21,0.06,2004,2,-1.14
158,488,-1.32,2.1,0.27,1.56,-0.98,0.09,2004,3,0.17
159,489,-1.83,-2.01,-3.1,3.45,-2.84,0.08,2004,4,-5.38
160,490,1.17,-0.38,-0.25,-1.18,0.03,0.06,2004,5,1.5
161,491,1.86,2.56,1.18,1.2,-0.39,0.08,2004,6,2.05
162,492,-4.06,-2.95,3.24,5.32,-1.66,0.1,2004,7,-2.29
163,493,0.08,-1.13,0.97,1.23,-1.47,0.11,2004,8,-1.59
164,494,1.6,3.27,0.0,-1.49,-1.88,0.11,2004,9,5.49
165,495,1.43,0.19,-0.22,-0.52,0.49,0.11,2004,10,-1.38
166,496,4.54,4.11,1.41,-0.58,-0.22,0.15,2004,11,3.16
167,497,3.43,-0.05,-0.22,-1.16,0.46,0.16,2004,12,-2.87
168,498,-2.76,-1.17,2.06,2.74,-1.46,0.16,2005,1,3.05
169,499,1.89,-0.31,1.54,1.43,-0.05,0.16,2005,2,3.37
170,500,-1.97,-1.42,2.04,0.47,1.29,0.21,2005,3,0.41
171,501,-2.61,-3.98,0.07,0.97,-0.94,0.21,2005,4,-0.69
172,502,3.65,2.79,-0.64,-1.0,0.3,0.24,2005,5,0.45
173,503,0.57,3.28,2.83,0.96,-0.51,0.23,2005,6,2.05
174,504,3.92,2.81,-0.79,-1.19,-0.82,0.24,2005,7,0.06
175,505,-1.22,-0.89,1.32,-2.05,0.37,0.3,2005,8,2.08
176,506,0.49,-0.34,0.71,0.27,-0.6,0.29,2005,9,3.43
177,507,-2.02,-1.45,0.42,-0.93,-1.3,0.27,2005,10,-1.39
178,508,3.61,0.84,-1.16,-0.76,-1.14,0.31,2005,11,0.35
179,509,-0.25,-0.2,0.2,0.21,0.23,0.32,2005,12,0.77
180,510,3.04,5.75,1.08,-0.64,-0.46,0.35,2006,1,2.53
181,511,-0.3,-0.42,-0.34,-0.51,1.91,0.34,2006,2,-1.84
182,512,1.46,3.38,0.6,0.06,-0.41,0.37,2006,3,1.26
183,513,0.73,-0.84,2.34,1.8,0.01,0.36,2006,4,0.64
184,514,-3.57,-2.85,2.41,1.15,1.46,0.43,2006,5,-3.7
185,515,-0.35,-0.24,0.85,1.32,-0.07,0.4,2006,6,1.54
186,516,-0.78,-3.63,2.6,1.63,0.9,0.4,2006,7,-2.12
187,517,2.03,0.44,-2.06,-1.86,2.09,0.42,2006,8,-3.38
188,518,1.84,-1.46,0.08,0.82,0.6,0.41,2006,9,-0.96
189,519,3.23,1.98,-0.31,-0.12,0.28,0.41,2006,10,-0.2
190,520,1.71,0.71,0.14,0.15,-0.8,0.42,2006,11,-1.03
191,521,0.87,-0.81,2.73,-0.72,2.06,0.4,2006,12,0.79
192,522,1.4,0.07,-0.68,0.25,0.38,0.44,2007,1,0.24
193,523,-1.96,1.29,-0.14,-0.51,-0.71,0.38,2007,2,-1.35
194,524,0.68,0.2,-0.97,0.64,-0.65,0.43,2007,3,2.56
195,525,3.49,-2.04,-1.45,1.15,1.03,0.44,2007,4,-0.24
196,526,3.24,0.4,-0.65,1.58,-1.36,0.41,2007,5,-0.34
197,527,-1.96,0.74,-1.05,0.53,0.08,0.4,2007,6,0.51
198,528,-3.73,-2.99,-3.71,0.2,-1.13,0.4,2007,7,2.94
199,529,0.92,-0.37,-1.86,-1.21,-0.53,0.42,2007,8,0.1
200,530,3.22,-2.44,-2.21,-0.52,-3.02,0.32,2007,9,4.63
201,531,1.8,-0.08,-2.98,-0.3,-0.09,0.32,2007,10,5.02
202,532,-4.83,-3.02,-0.94,1.89,-0.29,0.34,2007,11,0.99
203,533,-0.87,0.15,-0.55,0.87,-1.05,0.27,2007,12,6.63
204,534,-6.36,-0.65,3.97,2.14,2.14,0.21,2008,1,-7.75
205,535,-3.09,-0.66,-0.84,0.88,-0.93,0.13,2008,2,6.1
206,536,-0.93,0.56,0.3,0.79,0.5,0.17,2008,3,4.27
207,537,4.6,-1.2,-0.94,1.64,-2.47,0.18,2008,4,-0.31
208,538,1.86,3.02,-1.43,0.93,-0.06,0.18,2008,5,3.31
209,539,-8.44,1.18,-2.71,4.96,-0.55,0.17,2008,6,12.75
210,540,-0.77,3.72,5.42,-1.37,1.08,0.15,2008,7,-5.13
211,541,1.53,3.46,1.59,1.86,0.84,0.13,2008,8,-4.02
212,542,-9.24,0.25,5.91,2.41,1.78,0.15,2008,9,0.28
213,543,-17.23,-3.34,-2.3,3.04,2.05,0.08,2008,10,7.85
214,544,-7.86,-3.89,-6.31,4.53,2.75,0.03,2008,11,7.17
215,545,1.74,3.29,0.14,0.06,-1.49,0.0,2008,12,-5.09
216,546,-8.12,-2.14,-11.29,0.18,-1.17,0.0,2009,1,-2.18
217,547,-10.1,-1.32,-6.95,1.19,-1.02,0.01,2009,2,4.41
218,548,8.95,0.67,3.47,-2.52,-2.25,0.02,2009,3,-11.87
219,549,10.18,7.13,5.36,1.31,0.13,0.01,2009,4,-34.3
