,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,WML
137,143,-4.79,2.0,1.61,0.16,-0.23,0.13,2002,6,4.33
138,144,-6.04,4.18,3.19,0.06,1.6,0.15,2002,7,1.32
139,145,-1.42,-0.93,1.8,-0.82,1.73,0.14,2002,8,0.45
140,146,-4.94,0.2,3.97,-3.88,3.58,0.14,2002,9,-1.08
141,147,-6.77,-1.84,1.26,1.51,0.3,0.14,2002,10,4.61
142,148,3.03,-5.88,-0.9,1.18,-1.39,0.12,2002,11,-0.06
143,149,-2.42,2.17,1.23,-0.47,2.67,0.11,2002,12,4.16
144,150,-3.41,4.06,1.68,0.49,1.95,0.1,2003,1,0.06
145,151,1.46,3.47,5.83,-0.52,3.93,0.09,2003,2,0.86
146,152,-2.93,3.55,1.83,0.03,1.14,0.1,2003,3,2.36
147,153,1.09,3.55,0.14,3.79,2.9,0.1,2003,4,2.85
148,154,4.53,1.85,-2.19,0.33,-1.82,0.09,2003,5,-5.8
149,155,7.12,0.62,1.94,-0.47,1.43,0.1,2003,6,-9.52
150,156,3.47,-1.33,-0.56,-1.53,1.28,0.07,2003,7,-2.5
151,157,9.79,-0.97,2.43,-1.9,4.09,0.07,2003,8,-1.14
152,158,7.48,2.77,-1.68,0.3,-2.99,0.08,2003,9,-1.36
153,159,4.16,3.56,-2.84,-0.24,-0.28,0.07,2003,10,2.55
154,160,-3.87,-3.42,-0.2,-0.05,-1.65,0.07,2003,11,-5.68
155,161,6.47,-1.34,2.79,-0.87,0.79,0.08,2003,12,2.35
156,162,1.98,4.98,0.24,0.74,0.51,0.07,2004,1,2.97
157,163,-0.08,-0.2,2.31,-0.06,-2.94,0.06,2004,2,-1.25
158,164,15.03,8.21,3.52,-1.22,-0.27,0.09,2004,3,11.03
159,165,-4.54,7.32,-3.81,4.05,-1.82,0.08,2004,4,3.51
160,166,-3.35,-3.22,0.25,-0.94,-0.38,0.06,2004,5,-5.69
161,167,5.39,5.9,-1.14,2.88,-2.9,0.08,2004,6,2.84
162,168,-6.78,-0.79,4.65,-0.96,-0.38,0.1,2004,7,-5.22
163,169,0.99,0.47,-1.11,0.79,-0.04,0.11,2004,8,2.55
164,170,-3.18,-0.99,3.18,-0.7,1.81,0.11,2004,9,-2.71
165,171,2.38,-0.23,0.41,-1.3,0.98,0.11,2004,10,-1.09
166,172,3.81,-0.83,-0.4,-2.83,1.58,0.15,2004,11,-0.41
167,173,5.03,-0.77,0.91,-1.56,-0.82,0.16,2004,12,0.99
168,174,-1.2,6.63,0.54,0.52,1.29,0.16,2005,1,2.57
169,175,1.71,2.04,2.28,-0.39,1.93,0.16,2005,2,0.53
170,176,-1.51,2.06,3.44,-1.07,0.76,0.21,2005,3,0.06
171,177,-2.17,2.74,0.47,0.96,-0.88,0.21,2005,4,1.38
172,178,-2.61,-1.96,0.24,0.7,0.0,0.24,2005,5,-0.45
173,179,0.73,1.66,-0.35,0.01,0.49,0.23,2005,6,0.2
174,180,0.66,1.4,-1.04,-0.03,0.36,0.24,2005,7,1.92
175,181,6.67,-3.94,-0.7,-0.71,1.43,0.3,2005,8,1.35
176,182,7.93,-6.25,3.15,-0.83,2.8,0.29,2005,9,2.19
177,183,-0.35,2.25,1.15,-1.75,0.35,0.27,2005,10,3.42
178,184,2.93,-0.57,-2.15,-0.2,-1.81,0.31,2005,11,0.84
179,185,9.45,3.76,-6.14,0.26,-4.45,0.32,2005,12,4.68
180,186,3.54,-0.01,2.44,-0.76,0.99,0.35,2006,1,-0.49
181,187,-2.58,-4.69,3.74,0.11,0.09,0.34,2006,2,-3.17
182,188,2.67,0.05,-1.09,-0.76,-1.49,0.37,2006,3,1.21
183,189,2.09,-1.15,1.39,1.02,0.18,0.36,2006,4,-0.84
184,190,-7.4,-2.25,2.7,0.35,1.42,0.43,2006,5,-4.7
185,191,-1.77,-1.75,-0.47,0.07,-0.23,0.4,2006,6,0.6
186,192,-2.2,-5.78,5.26,-1.35,2.57,0.4,2006,7,0.6
187,193,1.31,0.54,-1.77,1.37,-1.12,0.42,2006,8,-0.82
188,194,-2.07,-1.36,0.53,-0.39,0.16,0.41,2006,9,0.18
189,195,1.25,-2.45,-1.1,0.52,-0.57,0.41,2006,10,0.45
