,Cnsmr,Manuf,HiTec,Hlth ,Other,Year,Month
972,-4.95,-1.03,-1.63,-3.99,-5.33,2007,7
973,1.39,0.73,1.88,2.27,1.17,2007,8
974,1.3,5.98,3.63,3.53,2.66,2007,9
975,1.55,2.55,4.42,1.54,0.2,2007,10
976,-2.32,-2.96,-7.26,0.03,-5.98,2007,11
977,-1.96,3.37,1.06,-3.98,-3.47,2007,12
978,-2.76,-7.96,-11.24,-4.6,-2.08,2008,1
979,-2.9,2.39,-3.65,-0.93,-7.87,2008,2
980,1.2,-1.05,0.48,-1.77,-1.92,2008,3
981,2.6,7.4,6.02,0.44,3.47,2008,4
982,2.04,3.71,5.44,1.63,-2.35,2008,5
983,-8.54,-3.14,-9.34,-3.01,-14.64,2008,6
984,1.53,-7.84,-1.17,6.73,4.3,2008,7
985,3.62,0.57,2.77,1.8,0.41,2008,8
986,-4.77,-12.71,-12.48,-5.96,-6.0,2008,9
987,-15.2,-17.64,-17.66,-11.03,-19.8,2008,10
988,-6.88,-3.1,-8.61,-7.35,-12.4,2008,11
989,3.0,-0.77,2.51,6.74,0.76,2008,12
990,-6.84,-5.44,-5.11,-2.21,-17.81,2009,1
991,-5.32,-12.91,-5.53,-9.95,-14.53,2009,2
992,8.59,5.23,10.51,7.06,13.01,2009,3
993,9.0,9.36,11.65,-0.9,16.17,2009,4
994,2.03,7.24,2.57,6.2,7.23,2009,5
995,0.29,-1.88,3.88,3.59,-2.02,2009,6
996,7.66,7.78,7.54,5.49,9.16,2009,7
997,2.45,1.68,1.94,2.21,7.7,2009,8
998,3.1,5.24,5.49,2.39,3.14,2009,9
999,-0.25,-0.86,-1.95,-3.72,-5.38,2009,10
1000,4.86,5.44,5.2,8.23,5.66,2009,11
1001,2.44,2.09,6.08,2.47,0.73,2009,12
1002,-1.97,-4.07,-7.6,-0.02,-0.54,2010,1
1003,3.86,3.32,4.37,0.38,3.64,2010,2
1004,6.32,4.78,6.89,3.63,8.1,2010,3
1005,1.52,3.44,2.52,-2.18,1.83,2010,4
1006,-5.76,-8.74,-7.37,-8.06,-8.76,2010,5
1007,-6.53,-5.15,-5.67,-1.67,-6.52,2010,6
1008,6.46,8.5,7.8,2.14,6.81,2010,7
1009,-3.3,-3.8,-5.52,-1.66,-7.1,2010,8
1010,9.82,8.66,11.48,9.01,8.51,2010,9
1011,3.61,4.4,6.0,1.98,2.03,2010,10
1012,2.76,2.39,-0.99,-3.34,0.5,2010,11
1013,4.08,7.27,6.12,5.44,9.23,2010,12
1014,-1.34,4.3,3.08,-0.72,2.1,2011,1
1015,2.84,4.85,3.47,3.32,2.94,2011,2
1016,1.89,1.82,-0.76,2.29,-1.08,2011,3
1017,4.36,2.58,3.17,6.34,1.06,2011,4
1018,0.97,-2.57,-1.18,1.95,-2.64,2011,5
1019,-0.98,-1.21,-2.21,-1.88,-2.12,2011,6
1020,-1.38,-2.11,-1.54,-3.66,-3.66,2011,7
1021,-2.87,-6.62,-6.41,-3.16,-8.15,2011,8
1022,-5.13,-9.86,-5.02,-3.95,-11.1,2011,9
1023,9.41,13.48,10.87,5.54,13.59,2011,10
1024,0.44,1.6,-1.51,1.3,-2.03,2011,11
1025,1.12,0.02,-0.43,3.51,1.46,2011,12
1026,3.35,2.95,7.11,3.41,7.23,2012,1
1027,3.67,4.38,6.25,1.26,4.21,2012,2
1028,4.05,-0.66,4.16,3.94,4.9,2012,3
1029,0.24,-0.63,-1.31,0.61,-1.66,2012,4
1030,-3.29,-7.67,-6.34,-3.25,-7.73,2012,5
1031,2.09,3.21,3.86,6.83,4.89,2012,6
1032,1.23,2.06,0.83,1.63,-1.23,2012,7
1033,1.81,1.74,3.93,0.98,3.12,2012,8
1034,1.66,2.53,2.04,4.69,3.79,2012,9
1035,-0.78,-0.8,-5.44,-1.91,0.91,2012,10
1036,2.26,0.02,1.14,1.5,-0.37,2012,11
1037,-0.9,1.8,0.54,-0.53,3.67,2012,12
1038,5.22,6.4,2.96,8.08,6.76,2013,1
1039,1.66,1.21,1.05,1.32,1.41,2013,2
1040,4.79,2.91,3.42,6.51,4.18,2013,3
1041,3.19,0.7,1.36,2.6,0.83,2013,4
1042,1.12,1.49,2.95,1.62,5.92,2013,5
1043,-0.03,-1.69,-1.73,-1.37,-1.19,2013,6
1044,5.05,5.54,5.17,8.08,5.69,2013,7
1045,-3.84,-2.3,-0.91,-3.68,-3.64,2013,8
1046,3.77,3.36,3.93,4.16,3.83,2013,9
1047,4.6,4.42,4.25,3.56,3.9,2013,10
1048,2.67,1.41,2.79,4.49,4.79,2013,11
1049,1.12,2.88,3.98,0.62,3.1,2013,12
1050,-5.95,-4.1,-1.93,1.88,-4.37,2014,1
1051,4.91,5.1,4.58,6.48,3.49,2014,2
1052,0.71,1.45,-0.45,-2.56,1.98,2014,3
1053,0.06,3.04,-0.74,-0.41,-1.97,2014,4
1054,1.85,0.89,3.54,1.87,1.86,2014,5
1055,1.53,3.0,2.59,2.9,2.45,2014,6
1056,-3.24,-4.31,0.36,-0.3,-2.27,2014,7
1057,5.22,3.99,3.36,5.54,4.12,2014,8
1058,-1.71,-4.55,-1.37,-0.22,-1.13,2014,9
1059,2.97,0.85,1.43,5.9,3.44,2014,10
1060,6.3,-1.95,3.9,2.52,2.49,2014,11
1061,0.08,0.44,-1.38,-0.82,1.17,2014,12
1062,-0.71,-3.0,-3.69,1.59,-6.36,2015,1
1063,5.62,3.7,8.39,4.24,7.21,2015,2
1064,-0.5,-1.88,-2.39,0.76,-0.59,2015,3
1065,-1.05,1.66,1.9,-1.42,0.62,2015,4
1066,1.14,-1.22,1.64,4.91,1.74,2015,5
1067,-0.92,-3.1,-2.93,0.16,0.03,2015,6
1068,4.34,-3.22,2.21,3.49,1.82,2015,7
1069,-5.0,-4.76,-6.33,-8.37,-6.18,2015,8
1070,-1.48,-3.93,-1.69,-6.95,-3.06,2015,9
1071,5.47,8.67,9.96,7.5,6.6,2015,10
1072,0.35,-0.14,0.59,0.57,1.38,2015,11
1073,0.14,-4.58,-2.7,0.29,-2.67,2015,12
1074,-3.3,-3.36,-4.85,-10.13,-8.77,2016,1
1075,0.52,1.28,-0.48,-0.98,-0.43,2016,2
1076,5.81,8.15,7.89,3.96,7.16,2016,3
1077,-0.15,3.54,-3.12,4.95,2.39,2016,4
1078,0.73,0.01,4.08,2.41,1.2,2016,5
1079,1.76,2.71,-0.71,-0.16,-3.07,2016,6
1080,2.48,1.16,6.46,6.16,3.75,2016,7
1081,-1.0,0.4,0.76,-3.14,3.3,2016,8
1082,-1.42,1.13,1.93,0.58,-1.1,2016,9
1083,-2.53,-2.3,-1.52,-7.52,0.74,2016,10
1084,1.44,5.4,1.79,2.4,11.64,2016,11
