,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
343,0.29,2.2,-3.64,1.19,-2.28,0.18,2019,2
344,0.17,-0.35,-2.54,0.45,-1.1,0.19,2019,3
345,1.21,-0.55,-1.43,0.47,-1.71,0.21,2019,4
346,-3.8,0.54,-1.57,1.93,-0.16,0.21,2019,5
347,2.51,-0.43,0.1,-0.58,0.36,0.18,2019,6
348,0.34,1.25,-2.37,2.14,-1.92,0.19,2019,7
349,-1.28,-2.03,-2.38,0.89,0.85,0.16,2019,8
350,3.83,-0.63,3.3,-1.82,0.97,0.18,2019,9
351,4.83,0.84,2.42,0.39,0.32,0.15,2019,10
352,0.67,1.31,-1.97,0.16,-0.8,0.12,2019,11
353,2.08,0.92,0.94,-0.23,-1.19,0.14,2019,12
