,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
405,4.04,-5.7,0.07,3.26,-0.72,0.43,1997,4
406,6.74,4.75,-4.13,-1.02,-2.96,0.49,1997,5
407,4.1,1.19,1.58,0.56,0.66,0.37,1997,6
408,7.33,-2.76,0.26,0.07,-2.58,0.43,1997,7
409,-4.15,7.61,1.18,-1.11,-0.04,0.41,1997,8
410,5.35,2.49,0.37,-1.63,-0.91,0.44,1997,9
411,-3.8,-0.52,2.27,1.0,1.94,0.42,1997,10
412,2.98,-5.11,1.2,2.81,1.84,0.39,1997,11
413,1.32,-2.03,3.84,0.74,1.92,0.48,1997,12
414,0.15,-1.36,-1.63,0.87,-0.73,0.43,1998,1
415,7.04,0.2,-0.85,-0.31,-2.54,0.39,1998,2
416,4.76,-0.65,1.39,-0.26,-0.37,0.39,1998,3
417,0.73,0.0,0.94,-1.69,-0.36,0.43,1998,4
418,-3.07,-2.95,3.44,1.1,2.61,0.4,1998,5
419,3.18,-3.66,-1.96,-0.26,-2.97,0.41,1998,6
420,-2.46,-5.27,-1.78,1.74,0.45,0.4,1998,7
421,-16.08,-5.17,3.53,3.37,5.91,0.43,1998,8
422,6.15,-0.78,-3.42,-1.88,-2.99,0.46,1998,9
423,7.13,-3.43,-2.23,0.93,0.31,0.32,1998,10
424,6.1,0.75,-3.25,-0.86,-1.18,0.31,1998,11
425,6.16,-1.56,-4.19,-0.76,-3.39,0.38,1998,12
426,3.5,-0.75,-4.6,-2.77,-6.8,0.35,1999,1
427,-4.08,-5.22,1.92,-1.23,4.1,0.35,1999,2
428,3.45,-4.23,-2.74,-4.07,-1.42,0.43,1999,3
429,4.33,4.52,2.46,-2.53,0.89,0.37,1999,4
430,-2.46,3.71,2.35,0.93,3.34,0.34,1999,5
431,4.77,2.29,-3.19,1.13,-3.21,0.4,1999,6
432,-3.49,2.57,-0.44,0.36,3.22,0.38,1999,7
433,-1.38,-1.73,-1.87,-0.24,0.64,0.39,1999,8
434,-2.79,2.59,-3.49,-0.75,-1.23,0.39,1999,9
435,6.12,-6.91,-3.37,-1.74,-1.19,0.39,1999,10
436,3.37,5.8,-6.12,-4.28,-1.74,0.36,1999,11
437,7.72,5.39,-8.33,-7.6,-5.63,0.44,1999,12
438,-4.74,4.42,-1.88,-6.29,4.72,0.41,2000,1
439,2.45,18.28,-9.59,-18.65,-0.48,0.43,2000,2
440,5.2,-15.32,8.13,11.79,-1.59,0.47,2000,3
441,-6.4,-5.01,7.26,7.66,5.65,0.46,2000,4
442,-4.42,-3.81,4.75,4.13,1.37,0.5,2000,5
443,4.64,9.92,-8.42,-8.31,-2.95,0.4,2000,6
444,-2.51,-1.03,8.31,5.83,2.94,0.48,2000,7
445,7.03,-1.03,-1.39,-3.22,1.1,0.5,2000,8
446,-5.45,0.19,7.17,2.56,5.53,0.51,2000,9
