This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199406   ,2.34  ,-3.86  ,-3.47  ,-4.15  ,-3.65  ,-2.66  ,-5.76  ,-3.21  ,-6.28  ,-4.02  ,-7.24  ,-5.36  ,-4.98  ,-4.61  ,-3.01  ,-2.78  ,-2.81  ,-3.03  ,-6.43  ,-6.62  ,-5.05  ,-5.81  ,-6.96  ,-7.03  ,-9.26
199407   ,2.19   ,0.49   ,0.93   ,1.05   ,2.56  ,-1.19   ,1.85   ,2.65   ,2.45   ,1.57  ,-0.25   ,3.85  ,-0.31   ,0.84   ,3.21   ,3.20   ,3.77   ,3.73   ,3.56   ,4.12   ,4.56   ,7.30   ,4.69   ,7.40   ,5.14
199408  ,-1.05  ,-0.81   ,0.42   ,5.73   ,0.95   ,3.35  ,-0.23   ,0.68   ,0.99   ,1.86   ,0.71   ,2.89   ,3.65   ,2.88   ,3.64   ,4.33   ,2.04   ,4.17   ,2.24   ,0.40   ,3.96   ,7.48   ,4.30   ,3.33   ,2.05
199409  ,-1.16  ,-2.43  ,-2.86  ,-3.13  ,-0.85   ,1.49  ,-1.46  ,-2.07   ,0.45  ,-1.21   ,2.13  ,-2.77  ,-1.48  ,-1.31  ,-0.81  ,-0.82   ,0.76  ,-0.85  ,-1.28   ,1.28  ,-2.70  ,-2.46  ,-2.77  ,-3.76  ,-1.55
199410  ,-1.17  ,-5.18  ,-3.68  ,-2.28  ,-0.46  ,-4.11  ,-1.04   ,0.61  ,-0.65  ,-0.95  ,-0.28  ,-2.61  ,-1.74   ,1.90   ,2.06   ,0.07  ,-0.80   ,1.08   ,4.38   ,1.81   ,2.45   ,1.01   ,3.18   ,0.98   ,0.16
199411  ,-8.59  ,-7.42  ,-5.96  ,-4.85  ,-5.64  ,-9.71  ,-8.24  ,-8.51  ,-4.65  ,-6.83  ,-7.32  ,-8.43  ,-8.46  ,-6.65  ,-6.08 ,-10.62  ,-5.95  ,-5.15  ,-5.46 ,-12.77  ,-7.74  ,-9.92  ,-7.13  ,-7.23  ,-8.89
199412  ,-2.20  ,-0.85  ,-2.98  ,-3.84  ,-2.60  ,-5.04  ,-5.43  ,-5.29  ,-2.44  ,-1.71   ,0.21  ,-5.59  ,-0.60  ,-0.11   ,0.59  ,-1.54  ,-1.76   ,0.84   ,0.80  ,-1.71  ,-2.43   ,0.16   ,0.78  ,-2.41  ,-0.02
199501  ,-9.94 ,-10.78  ,-7.30  ,-7.39  ,-6.25  ,-9.24  ,-9.28  ,-8.93  ,-7.49  ,-8.02  ,-8.78  ,-9.61  ,-9.82  ,-6.19  ,-7.72  ,-7.97 ,-10.57  ,-7.50  ,-6.45  ,-8.55  ,-5.11  ,-9.13  ,-9.41  ,-6.08  ,-4.18
199502  ,-3.08   ,0.09  ,-4.54   ,0.56  ,-1.88  ,-1.01   ,1.15   ,3.86  ,-0.05   ,2.97   ,1.63   ,5.57   ,0.35   ,0.84   ,2.07   ,0.84   ,3.62   ,1.73   ,2.86   ,5.67   ,5.31  ,11.04   ,3.86  ,10.45   ,6.98
199503  ,-1.22  ,-3.53  ,-1.98  ,-1.99  ,-1.11  ,-3.24  ,-1.24  ,-0.05  ,-0.21  ,-1.43   ,0.22   ,0.28   ,0.66  ,-1.59  ,-1.29  ,-0.47  ,-0.43  ,-0.43  ,-0.84   ,0.67   ,3.84  ,-0.12  ,-0.05   ,1.34   ,1.48
199504   ,1.45  ,-0.24  ,-0.27   ,3.06   ,0.49   ,2.79  ,-0.82  ,-0.57   ,0.13   ,1.26  ,-2.99   ,2.44   ,1.38   ,1.68   ,2.13   ,1.70   ,2.63   ,6.10   ,3.88   ,1.02   ,0.45   ,0.49   ,4.91   ,2.55  ,-2.15
199505   ,3.13  ,-0.76  ,-2.13  ,-1.94  ,-0.81   ,2.35   ,0.93   ,2.53   ,2.59   ,2.75   ,2.83   ,4.69   ,1.68   ,3.49   ,1.59   ,3.37   ,7.66  ,-0.73   ,1.04   ,5.15   ,7.37   ,7.35   ,1.82   ,4.18   ,3.52
199506   ,1.24  ,-1.67  ,-1.96   ,0.30  ,-1.40  ,-0.06  ,-0.23   ,0.28   ,0.22   ,0.83  ,-0.69   ,1.29  ,-0.74  ,-2.25  ,-4.36   ,0.29  ,-0.46  ,-0.50  ,-1.19  ,-1.37  ,-3.87  ,-1.96  ,-1.99   ,0.10  ,-2.89
199507  ,10.86   ,9.99  ,12.40   ,9.13   ,5.88   ,9.87   ,6.24   ,8.93   ,5.26   ,8.44   ,9.15   ,9.42   ,6.31   ,8.89   ,5.22   ,4.36   ,7.63   ,4.59   ,5.55   ,4.22   ,4.61   ,7.11   ,6.29   ,3.05   ,2.15
