,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Year,Month
1091,-1.06,3.59,1.21,-0.15,-2.04,-2.45,-1.94,5.54,-1.91,4.41,2017,6
1092,-0.13,-1.19,2.18,2.06,3.67,5.27,0.16,0.7,2.99,1.36,2017,7
1093,-1.75,-0.02,0.34,-5.09,3.01,-2.47,-1.63,2.59,2.17,-0.64,2017,8
1094,-0.4,5.29,4.22,10.93,0.68,-1.51,2.42,2.09,-1.95,4.57,2017,9
1095,0.08,1.2,2.78,0.5,6.93,-5.55,2.78,-2.26,3.02,2.08,2017,10
1096,4.07,-0.65,3.46,2.95,1.04,4.07,8.04,2.46,2.42,3.91,2017,11
1097,2.01,-0.87,2.29,5.01,-0.16,4.48,2.44,-0.15,-4.98,1.41,2017,12
1098,1.93,2.66,4.1,2.8,7.85,3.16,9.41,6.38,-2.81,5.78,2018,1
1099,-6.22,-6.08,-4.04,-10.75,-0.09,-7.05,-4.64,-3.49,-4.54,-3.28,2018,2
1100,-1.08,-5.74,-2.24,3.0,-3.17,-2.54,-2.52,-2.41,3.17,-2.63,2018,3
1101,-3.98,-0.07,-3.42,10.05,-0.21,-2.28,3.93,-0.04,2.78,0.62,2018,4
1102,-0.56,2.97,2.52,3.41,6.81,-0.83,0.87,2.37,0.22,1.34,2018,5
1103,4.55,0.88,-1.01,0.53,-0.4,6.43,3.03,1.48,2.61,-0.97,2018,6
1104,2.86,-1.63,5.25,1.09,2.45,2.71,3.22,5.92,1.69,3.81,2018,7
1105,-1.15,-0.72,-0.35,-2.84,7.2,2.91,8.04,4.5,0.93,2.27,2018,8
1106,0.72,-3.95,1.31,3.37,-0.14,1.77,0.6,2.08,-0.56,-1.45,2018,9
1107,-0.24,-2.86,-9.92,-11.92,-8.77,-0.43,-8.78,-8.79,-0.07,-6.74,2018,10
1108,0.48,5.33,4.64,-2.2,-1.53,2.53,2.47,6.42,3.28,2.81,2018,11
1109,-11.29,-11.37,-8.74,-13.04,-8.14,-8.7,-9.06,-8.25,-4.76,-10.94,2018,12
1110,7.29,10.54,9.72,10.33,9.29,5.44,8.2,5.32,5.42,9.8,2019,1
1111,1.34,3.75,5.19,2.47,5.76,3.23,0.68,3.3,3.56,2.96,2019,2
1112,3.66,-5.36,-0.85,2.02,3.78,0.45,3.43,0.5,3.33,-1.47,2019,3
1113,3.13,3.33,4.05,0.22,5.85,6.02,4.63,-3.16,1.0,6.63,2019,4
1114,-5.62,-12.43,-9.16,-11.83,-8.44,-3.0,-6.04,-3.4,-1.55,-6.17,2019,5
1115,4.92,13.15,8.07,8.83,8.03,5.14,7.14,6.83,3.64,6.64,2019,6
